Date,Alphabet,Amazon,Apple,Tesla
2/3/20,1485.939941,2004.199951,77.165001,156
2/4/20,1447.069946,2049.669922,79.712502,177.412003
2/5/20,1448.22998,2039.869995,80.362503,146.940002
2/6/20,1476.22998,2050.22998,81.302498,149.792007
2/7/20,1479.22998,2079.280029,80.0075,149.613998
2/10/20,1508.680054,2133.909912,80.387497,154.255997
2/11/20,1508.790039,2150.800049,79.902496,154.876007
2/12/20,1518.27002,2160,81.800003,153.457993
2/13/20,1514.660034,2149.870117,81.217499,160.800003
2/14/20,1520.73999,2134.870117,81.237503,160.005997
2/18/20,1519.670044,2155.669922,79.75,171.679993
2/19/20,1526.689941,2170.219971,80.904999,183.483994
2/20/20,1518.150024,2153.100098,80.074997,179.882004
2/21/20,1485.109985,2095.969971,78.262497,180.199997
2/24/20,1421.589966,2009.290039,74.544998,166.757996
2/25/20,1388.449951,1972.73999,72.019997,159.981995
2/26/20,1393.180054,1979.589966,73.162498,155.759995
2/27/20,1318.089966,1884.300049,68.379997,135.800003
2/28/20,1339.329956,1883.75,68.339996,133.598007
3/2/20,1389.109985,1953.949951,74.702499,148.723999
3/3/20,1341.390015,1908.98999,72.330002,149.102005
3/4/20,1386.52002,1975.829956,75.684998,149.899994
3/5/20,1319.040039,1924.030029,73.230003,144.908005
3/6/20,1298.410034,1901.089966,72.2575,140.695999
3/9/20,1215.560059,1800.609985,66.542503,121.599998
3/10/20,1280.390015,1891.819946,71.334999,129.065994
3/11/20,1215.410034,1820.859985,68.857498,126.846001
3/12/20,1114.910034,1676.609985,62.057499,112.110001
3/13/20,1219.72998,1785,69.4925,109.323997
3/16/20,1084.329956,1689.150024,60.552502,89.014
3/17/20,1119.800049,1807.839966,63.215,86.040001
3/18/20,1096.800049,1830,61.6675,72.244003
3/19/20,1115.290039,1880.930054,61.195,85.528
3/20/20,1072.319946,1846.089966,57.310001,85.505997
3/23/20,1056.619995,1902.829956,56.092499,86.858002
3/24/20,1134.459961,1940.099976,61.720001,101
3/25/20,1102.48999,1885.839966,61.380001,107.849998
3/26/20,1161.75,1955.48999,64.610001,105.632004
3/27/20,1110.709961,1900.099976,61.935001,102.872002
3/30/20,1146.819946,1963.949951,63.702499,100.426003
3/31/20,1162.810059,1949.719971,63.572498,104.800003
4/1/20,1105.619995,1907.699951,60.227501,96.311996
4/2/20,1120.839966,1918.829956,61.232498,90.893997
4/3/20,1097.880005,1906.589966,60.352501,96.001999
4/6/20,1186.920044,1997.589966,65.6175,103.248001
4/7/20,1186.51001,2011.599976,64.857498,109.089996
4/8/20,1210.280029,2043,66.517502,109.767998
4/9/20,1211.449951,2042.76001,66.997498,114.599998
4/13/20,1217.560059,2168.870117,68.3125,130.190002
4/14/20,1269.22998,2283.320068,71.762497,141.977997
4/15/20,1262.469971,2307.679932,71.107498,145.966003
4/16/20,1263.469971,2408.189941,71.672501,149.042007
4/17/20,1283.25,2375,70.699997,150.778
4/20/20,1266.609985,2393.610107,69.232498,149.272003
4/21/20,1216.339966,2328.120117,67.092499,137.343994
4/22/20,1263.209961,2363.48999,69.025002,146.421997
4/23/20,1276.310059,2399.449951,68.7575,141.126007
4/24/20,1279.310059,2410.219971,70.7425,145.029999
4/27/20,1275.880005,2376,70.792503,159.75
4/28/20,1233.670044,2314.080078,69.644997,153.824005
4/29/20,1341.47998,2372.709961,71.932503,160.102005
4/30/20,1348.660034,2474,73.449997,156.376007
5/1/20,1320.609985,2286.040039,72.267502,140.264008
5/4/20,1326.800049,2315.98999,73.290001,152.238007
5/5/20,1351.109985,2317.800049,74.389999,153.641998
5/6/20,1347.300049,2351.26001,75.157501,156.516006
5/7/20,1372.560059,2367.610107,75.934998,156.007996
5/8/20,1388.369995,2379.610107,77.532501,163.884003
5/11/20,1403.26001,2409,78.752502,162.257996
5/12/20,1375.73999,2356.949951,77.852501,161.882004
5/13/20,1349.329956,2367.919922,76.912498,158.192001
5/14/20,1356.130005,2388.850098,77.385002,160.666
5/15/20,1373.189941,2409.780029,76.927498,159.834
5/18/20,1383.939941,2426.26001,78.739998,162.725998
5/19/20,1373.484985,2449.330078,78.285004,161.602005
5/20/20,1406.719971,2497.939941,79.807503,163.112
5/21/20,1402.800049,2446.73999,79.212502,165.520004
5/22/20,1410.420044,2436.879883,79.722504,163.376007
5/26/20,1417.02002,2421.860107,79.182503,163.774002
5/27/20,1417.839966,2410.389893,79.527496,164.046005
5/28/20,1416.72998,2401.100098,79.5625,161.162003
5/29/20,1428.920044,2442.370117,79.485001,167
6/1/20,1431.819946,2471.040039,80.462502,179.619995
6/2/20,1439.219971,2472.409912,80.834999,176.311996
6/3/20,1436.380005,2478.399902,81.279999,176.591995
6/4/20,1412.180054,2460.600098,80.580002,172.876007
6/5/20,1438.390015,2483,82.875,177.132004
6/8/20,1446.609985,2524.060059,83.364998,189.983994
6/9/20,1456.160034,2600.860107,85.997498,188.134003
6/10/20,1465.849976,2647.449951,88.209999,205.009995
6/11/20,1403.839966,2557.959961,83.974998,194.567993
6/12/20,1413.180054,2545.02002,84.699997,187.056
6/15/20,1419.849976,2572.679932,85.747498,198.179993
6/16/20,1442.719971,2615.27002,88.019997,196.425995
6/17/20,1451.119995,2640.97998,87.897499,198.358002
6/18/20,1435.959961,2653.97998,87.932503,200.792007
6/19/20,1431.719971,2675.01001,87.43,200.179993
6/22/20,1451.859985,2713.820068,89.717499,198.863998
6/23/20,1464.410034,2764.409912,91.6325,200.356003
6/24/20,1431.969971,2734.399902,90.014999,192.169998
6/25/20,1441.329956,2754.580078,91.209999,197.195999
6/26/20,1359.900024,2692.870117,88.407501,191.947998
6/29/20,1394.969971,2680.379883,90.445,201.869995
6/30/20,1413.609985,2758.820068,91.199997,215.962006
7/1/20,1438.040039,2878.699951,91.027496,223.925995
7/2/20,1464.699951,2890.300049,91.027496,241.731995
7/6/20,1495.699951,3057.040039,93.462502,274.31601
7/7/20,1485.180054,3000.120117,93.172501,277.971985
7/8/20,1496,3081.110107,95.342499,273.175995
7/9/20,1510.98999,3182.629883,95.752502,278.855988
7/10/20,1541.73999,3200,95.919998,308.929993
7/13/20,1511.339966,3104,95.477501,299.411987
7/14/20,1520.579956,3084,97.057503,303.359985
7/15/20,1513.640015,3008.870117,97.724998,309.201996
7/16/20,1518,2999.899902,96.522499,300.127991
7/17/20,1515.550049,2961.969971,96.327499,300.167999
7/20/20,1565.719971,3196.840088,98.357498,328.600006
7/21/20,1558.420044,3138.290039,97,313.671997
7/22/20,1568.48999,3099.909912,97.272499,318.466003
7/23/20,1515.680054,2986.550049,92.845001,302.614014
7/24/20,1511.869995,3008.909912,92.614998,283.399994
7/27/20,1530.199951,3055.209961,94.809998,307.920013
7/28/20,1500.339966,3000.330078,93.252502,295.298004
7/29/20,1522.02002,3033.530029,95.040001,299.821991
7/30/20,1531.449951,3051.879883,96.190002,297.497986
7/31/20,1482.959961,3164.679932,106.260002,286.152008
8/3/20,1474.449951,3111.889893,108.9375,297
8/4/20,1464.969971,3138.830078,109.665001,297.399994
8/5/20,1473.609985,3205.030029,110.0625,297.003998
8/6/20,1500.099976,3225,113.902496,297.915985
8/7/20,1494.48999,3167.459961,111.112503,290.541992
8/10/20,1496.099976,3148.159912,112.727501,283.713989
8/11/20,1480.319946,3080.669922,109.375,274.877991
8/12/20,1506.619995,3162.23999,113.010002,310.951996
8/13/20,1518.449951,3161.02002,115.010002,324.200012
8/14/20,1507.72998,3148.02002,114.907501,330.141998
8/17/20,1517.97998,3182.409912,114.607498,367.127991
8/18/20,1558.599976,3312.48999,115.5625,377.417999
8/19/20,1547.530029,3260.47998,115.707497,375.705994
8/20/20,1581.75,3297.370117,118.275002,400.365997
8/21/20,1580.420044,3284.719971,124.370003,409.996002
8/24/20,1588.199951,3307.459961,125.857498,402.839996
8/25/20,1608.219971,3346.48999,124.824997,404.667999
8/26/20,1652.380005,3441.850098,126.522499,430.634003
8/27/20,1634.329956,3400,125.010002,447.75
8/28/20,1644.410034,3401.800049,124.807503,442.679993
8/31/20,1634.180054,3450.959961,129.039993,498.320007
9/1/20,1660.709961,3499.120117,134.179993,475.049988
9/2/20,1728.280029,3531.449951,131.399994,447.369995
9/3/20,1641.839966,3368,120.879997,407
9/4/20,1591.040039,3294.620117,120.959999,418.320007
9/8/20,1532.390015,3149.840088,112.82,330.209991
9/9/20,1556.959961,3268.610107,117.32,366.279999
9/10/20,1532.02002,3175.110107,113.489998,371.339996
9/11/20,1520.719971,3116.219971,112,372.720001
9/14/20,1519.280029,3102.969971,115.360001,419.619995
9/15/20,1541.439941,3156.129883,115.540001,449.76001
9/16/20,1520.900024,3078.100098,112.129997,441.76001
9/17/20,1495.530029,3008.72998,110.339996,423.429993
9/18/20,1459.98999,2954.909912,106.839996,442.149994
9/21/20,1431.160034,2960.469971,110.080002,449.390015
9/22/20,1465.459961,3128.98999,111.809998,424.230011
9/23/20,1415.209961,2999.860107,107.120003,380.359985
9/24/20,1428.290039,3019.790039,108.220001,387.790009
9/25/20,1444.959961,3095.129883,112.279999,407.339996
9/28/20,1464.52002,3174.050049,114.959999,421.200012
9/29/20,1469.329956,3144.879883,114.089996,419.070007
9/30/20,1469.599976,3148.72998,115.809998,429.01001
10/1/20,1490.089966,3221.26001,116.790001,448.160004
10/2/20,1458.420044,3125,113.019997,415.089996
10/5/20,1486.02002,3199.199951,116.5,425.679993
10/6/20,1453.439941,3099.959961,113.160004,413.980011
10/7/20,1460.290039,3195.689941,115.080002,425.299988
10/8/20,1485.930054,3190.550049,114.970001,425.920013
10/9/20,1515.219971,3286.649902,116.970001,434
10/12/20,1569.150024,3442.929932,124.400002,442.299988
10/13/20,1571.680054,3443.629883,121.099998,446.649994
10/14/20,1568.079956,3363.709961,121.190002,461.299988
10/15/20,1559.130005,3338.649902,120.709999,448.880005
10/16/20,1573.01001,3272.709961,119.019997,439.670013
10/19/20,1534.609985,3207.209961,115.980003,430.829987
10/20/20,1555.930054,3217.01001,117.510002,421.940002
10/21/20,1593.310059,3184.939941,116.870003,422.640015
10/22/20,1615.329956,3176.399902,115.75,425.790009
10/23/20,1641,3204.399902,115.040001,420.630005
10/26/20,1590.449951,3207.040039,115.050003,420.279999
10/27/20,1604.26001,3286.330078,116.599998,424.679993
10/28/20,1516.619995,3162.780029,111.199997,406.019989
10/29/20,1567.23999,3211.01001,115.32,410.829987
10/30/20,1621.01001,3036.149902,108.860001,388.040009
11/2/20,1626.030029,3004.47998,108.769997,400.51001
11/3/20,1650.209961,3048.409912,110.440002,423.899994
11/4/20,1749.130005,3241.159912,114.949997,420.980011
11/5/20,1763.369995,3322,119.029999,438.089996
11/6/20,1761.75,3311.370117,118.690002,429.950012
11/9/20,1763,3143.73999,116.32,421.26001
11/10/20,1740.390015,3035.02002,115.970001,410.359985
11/11/20,1752.709961,3137.389893,119.489998,417.130005
11/12/20,1749.839966,3110.280029,119.209999,411.76001
11/13/20,1777.02002,3128.810059,119.260002,408.5
11/16/20,1781.380005,3131.060059,120.300003,408.089996
11/17/20,1770.150024,3135.659912,119.389999,441.609985
11/18/20,1746.780029,3105.459961,118.029999,486.640015
11/19/20,1763.920044,3117.02002,118.639999,499.269989
11/20/20,1742.189941,3099.399902,117.339996,489.609985
11/23/20,1734.859985,3098.389893,113.849998,521.849976
11/24/20,1768.880005,3118.060059,115.169998,555.380005
11/25/20,1771.430054,3185.070068,116.029999,574
11/27/20,1793.189941,3195.340088,116.589996,585.76001